CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
03,BERGEN,4845,SOUTH BERGEN JOINTURE COM,Teachers,89.8,10.2,91.5,5.1,1.7,1.7,0.0,0.0,0.0,2017-18
03,BERGEN,4870,SOUTH HACKENSACK TWP,Admins,50.0,50.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,4870,SOUTH HACKENSACK TWP,Teachers,88.0,12.0,96.0,4.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,5150,TEANECK TWP,Admins,51.9,48.1,33.3,14.8,44.4,7.4,0.0,0.0,0.0,2017-18
03,BERGEN,5150,TEANECK TWP,Teachers,71.0,29.0,63.0,12.5,18.1,6.1,0.0,0.3,0.0,2017-18
03,BERGEN,5160,TENAFLY BORO,Admins,57.7,42.3,84.6,7.7,0.0,7.7,0.0,0.0,0.0,2017-18
03,BERGEN,5160,TENAFLY BORO,Teachers,75.6,24.4,85.3,5.8,1.0,8.0,0.0,0.0,0.0,2017-18
03,BERGEN,5330,UPPER SADDLE RIVER BORO,Admins,40.0,60.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,2017-18
03,BERGEN,5330,UPPER SADDLE RIVER BORO,Teachers,87.4,12.6,91.9,3.6,0.0,4.5,0.0,0.0,0.0,2017-18
03,BERGEN,5410,WALDWICK BORO,Admins,42.9,57.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,5410,WALDWICK BORO,Teachers,77.9,22.1,96.1,3.2,0.0,0.6,0.0,0.0,0.0,2017-18
03,BERGEN,5430,WALLINGTON BORO,Admins,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,5430,WALLINGTON BORO,Teachers,70.2,29.8,92.6,7.4,0.0,0.0,0.0,0.0,0.0,2017-18
